# quill eval corpus — FROZEN. Regenerate only with rig/fetch_corpus.sh --refreeze.
# source: LibriSpeech test-clean (CC BY 4.0) — openslr.org/12
# selection: word count in [12,35], round-robin one-per-speaker, sorted by utterance id
clip_id	speaker	source_rel	words	duration_s	ground_truth
5639-40744-0001	5639	audio/LibriSpeech/test-clean/5639/40744/5639-40744-0001.flac	35	12.440	SECURE AS HE THOUGHT IN THE CAREFUL ADMINISTRATION OF JUSTICE IN THAT CITY AND THE CHARACTER OF ITS WELL DISPOSED INHABITANTS THE GOOD HIDALGO WAS FAR FROM THINKING THAT ANY DISASTER COULD BEFAL HIS FAMILY
5683-32865-0004	5683	audio/LibriSpeech/test-clean/5683/32865/5683-32865-0004.flac	16	7.365	WHATEVER LORD CHELFORD SAID MISS BRANDON RECEIVED IT VERY GRACIOUSLY AND EVEN WITH A MOMENTARY SMILE
61-70968-0000	61	audio/LibriSpeech/test-clean/61/70968/61-70968-0000.flac	17	4.905	HE BEGAN A CONFUSED COMPLAINT AGAINST THE WIZARD WHO HAD VANISHED BEHIND THE CURTAIN ON THE LEFT
61-70968-0003	61	audio/LibriSpeech/test-clean/61/70968/61-70968-0003.flac	15	4.315	HE WAS LIKE UNTO MY FATHER IN A WAY AND YET WAS NOT MY FATHER
672-122797-0004	672	audio/LibriSpeech/test-clean/672/122797/672-122797-0004.flac	24	10.250	IN WINTER WHEN THE SNOW LAY GLITTERING ON THE GROUND A HARE WOULD OFTEN COME LEAPING ALONG AND JUMP RIGHT OVER THE LITTLE TREE
672-122797-0006	672	audio/LibriSpeech/test-clean/672/122797/672-122797-0006.flac	24	13.950	TO GROW AND GROW TO GET OLDER AND BE TALL THOUGHT THE TREE THAT AFTER ALL IS THE MOST DELIGHTFUL THING IN THE WORLD
6829-68769-0001	6829	audio/LibriSpeech/test-clean/6829/68769/6829-68769-0001.flac	30	9.315	IT WAS A SERIOUS CRIME INDEED MISTER WATSON TOLD THEM AND TOM GATES BADE FAIR TO SERVE A LENGTHY TERM IN STATE'S PRISON AS A CONSEQUENCE OF HIS RASH ACT
6930-75918-0004	6930	audio/LibriSpeech/test-clean/6930/75918/6930-75918-0004.flac	31	11.065	SHE TAUGHT HER DAUGHTER THEN BY HER OWN AFFECTION FOR IT THAT LOVE FOR A COUNTRY WHERE THEY HAD BOTH BEEN HOSPITABLY RECEIVED AND WHERE A BRILLIANT FUTURE OPENED BEFORE THEM
7021-79730-0001	7021	audio/LibriSpeech/test-clean/7021/79730/7021-79730-0001.flac	26	11.490	TO SUPPOSE THAT THE OBJECT OF THIS WORK IS TO AID IN EFFECTING SUCH A SUBSTITUTION AS THAT IS ENTIRELY TO MISTAKE ITS NATURE AND DESIGN
7127-75946-0003	7127	audio/LibriSpeech/test-clean/7127/75946/7127-75946-0003.flac	12	4.810	GENTLEMEN TO YOUR POSTS WHEREUPON SAINT AIGNAN AND VILLEROY TOOK THEIR LEAVE
7176-88083-0000	7176	audio/LibriSpeech/test-clean/7176/88083/7176-88083-0000.flac	15	5.695	ALL ABOUT HIM WAS A TUMULT OF BRIGHT AND BROKEN COLOR SCATTERED IN BROAD SPLASHES
7729-102255-0002	7729	audio/LibriSpeech/test-clean/7729/102255/7729-102255-0002.flac	19	8.300	THAT SUMMER'S EMIGRATION HOWEVER BEING MAINLY FROM THE FREE STATES GREATLY CHANGED THE RELATIVE STRENGTH OF THE TWO PARTIES
8224-274381-0000	8224	audio/LibriSpeech/test-clean/8224/274381/8224-274381-0000.flac	30	17.740	THOUGH THROWN INTO PRISON FOR THIS ENTERPRISE AND DETAINED SOME TIME HE WAS NOT DISCOURAGED BUT STILL CONTINUED BY HIS COUNTENANCE AND PROTECTION TO INFUSE SPIRIT INTO THE DISTRESSED ROYALISTS
8230-279154-0000	8230	audio/LibriSpeech/test-clean/8230/279154/8230-279154-0000.flac	24	8.805	THE ANALYSIS OF KNOWLEDGE WILL OCCUPY US UNTIL THE END OF THE THIRTEENTH LECTURE AND IS THE MOST DIFFICULT PART OF OUR WHOLE ENTERPRISE
8455-210777-0000	8455	audio/LibriSpeech/test-clean/8455/210777/8455-210777-0000.flac	30	8.745	I REMAINED THERE ALONE FOR MANY HOURS BUT I MUST ACKNOWLEDGE THAT BEFORE I LEFT THE CHAMBERS I HAD GRADUALLY BROUGHT MYSELF TO LOOK AT THE MATTER IN ANOTHER LIGHT
8463-287645-0000	8463	audio/LibriSpeech/test-clean/8463/287645/8463-287645-0000.flac	14	4.730	THIS WAS WHAT DID THE MISCHIEF SO FAR AS THE RUNNING AWAY WAS CONCERNED
8555-284447-0000	8555	audio/LibriSpeech/test-clean/8555/284447/8555-284447-0000.flac	27	9.605	THEN HE RUSHED DOWN STAIRS INTO THE COURTYARD SHOUTING LOUDLY FOR HIS SOLDIERS AND THREATENING TO PATCH EVERYBODY IN HIS DOMINIONS IF THE SAILORMAN WAS NOT RECAPTURED
908-157963-0000	908	audio/LibriSpeech/test-clean/908/157963/908-157963-0000.flac	30	12.620	TO FADE AWAY LIKE MORNING BEAUTY FROM HER MORTAL DAY DOWN BY THE RIVER OF ADONA HER SOFT VOICE IS HEARD AND THUS HER GENTLE LAMENTATION FALLS LIKE MORNING DEW
908-157963-0004	908	audio/LibriSpeech/test-clean/908/157963/908-157963-0004.flac	33	13.990	THEL IS LIKE A WATRY BOW AND LIKE A PARTING CLOUD LIKE A REFLECTION IN A GLASS LIKE SHADOWS IN THE WATER LIKE DREAMS OF INFANTS LIKE A SMILE UPON AN INFANTS FACE
